,daily_return
0,0.0
1,-0.008102862451665471
2,-0.005730058658426795
3,-0.009876443982223981
4,-0.004285281485622017
5,0.0030517239023042375
6,-0.001559858698018668
7,0.0013249597823559167
8,0.0024548695722419467
9,0.005591500772690328
10,0.014854785517399272
11,0.016602658065252962
12,0.011335361095516694
13,0.010996949696857383
14,0.010090099159546506
15,0.004188940455696066
16,-0.011534943987568491
17,-0.005055671448943033
18,-0.004653867111350518
19,-0.0003242714581712658
20,-0.021226080328663355
21,-0.016245573826523252
22,-0.002118893761417273
23,0.014619548325648601
24,0.017699687419363785
25,0.008095555688160117
26,0.014133580897305986
27,0.01411693771376532
28,0.023645566222077363
29,0.019207925186319308
30,0.018333955084783637
31,0.012587591518904429
32,0.016600222477417992
33,0.012164678753406877
34,0.00428176341430464
35,-0.03145264006219928
36,-0.06191602553199649
37,-0.0662033366741479
38,-0.10745718811655036
39,-0.11983322176987932
40,-0.07501109883845447
41,-0.10223461124567712
42,-0.061586950553372044
43,-0.09517269197269462
44,-0.10405771639555161
45,-0.1738132902721401
46,-0.13338415593282782
47,-0.1841288842720965
48,-0.2656217588922294
49,-0.19686240809546063
50,-0.30068035439967944
51,-0.26434835238571897
52,-0.310711931795963
53,-0.3041903747463097
54,-0.33582345127396795
55,-0.35598538268429647
56,-0.28279285609613425
57,-0.26562412682484726
58,-0.21880475421333012
59,-0.2505134016190975
60,-0.22658787810640613
61,-0.2408011568500974
62,-0.27452789174299175
63,-0.2582497757567809
64,-0.27075151280449394
65,-0.21437712614978333
66,-0.21528228530665316
67,-0.1882735105602351
68,-0.17837359021748833
69,-0.18975610699970336
70,-0.17039298074410714
71,-0.18582175312800497
72,-0.1846672168388963
73,-0.16025295203393886
74,-0.18076127815860876
75,-0.20263813402579778
76,-0.18680999289214262
77,-0.18544383108224105
78,-0.1764372302332764
79,-0.16401864144804879
80,-0.16513502019440573
81,-0.1466961318670551
82,-0.1566771031605404
83,-0.1782239368760581
84,-0.1773208750309352
85,-0.1727023915984125
86,-0.18026935707111336
87,-0.1729517687306512
88,-0.15717592508023548
89,-0.1609630611983388
90,-0.1768006064072466
91,-0.19470258292736808
92,-0.1816307153605622
93,-0.17954957321059029
94,-0.14796013429831312
95,-0.16148718616943314
96,-0.14870380045066478
97,-0.15222944915257086
98,-0.1525397836359076
99,-0.13418262281147186
100,-0.1150214473805452
101,-0.12013523466144549
102,-0.12074250789502528
103,-0.1175587886630961
104,-0.10828819715488125
105,-0.09002487411731896
106,-0.08961163604794453
107,-0.06088996650119516
108,-0.04490527119390997
109,-0.05530191614460489
110,-0.06508100426863794
111,-0.12957347579898415
112,-0.11303766108876423
113,-0.10757774971439316
114,-0.08932897254862449
115,-0.09523053718378083
116,-0.09659913458151759
117,-0.10382626789598859
118,-0.09850910903084797
119,-0.09396653475252281
120,-0.11856610719860938
121,-0.10818603777623736
122,-0.13347454330360098
123,-0.11337499000394091
124,-0.10585545083880898
125,-0.1085542174706603
126,-0.105353922710408
127,-0.08943119958248547
128,-0.10317786029008058
129,-0.09704322343013783
130,-0.10955463517397401
131,-0.09676536345127051
132,-0.09640164900121206
133,-0.07711477017590151
134,-0.06923395214854633
135,-0.07392374418046666
136,-0.0760977769442649
137,-0.07578879556528106
138,-0.07026271738805334
139,-0.06453198217745004
140,-0.07677737360550696
141,-0.08309697983049058
142,-0.07911763523905846
143,-0.08623570834268612
144,-0.08068331228579462
145,-0.08850905896598693
146,-0.08453695348284274
147,-0.07635926436046203
148,-0.07067595545742789
149,-0.05775374123205246
150,-0.05132947238537222
151,-0.049718736963684784
152,-0.03731922694983303
153,-0.04094006654296534
154,-0.030897055414899732
155,-0.033672340097907316
156,-0.03248424682084683
157,-0.035467030056370974
158,-0.037782326914611475
159,-0.04073324454262495
160,-0.03911039883697898
161,-0.03250812911267542
162,-0.019409876010988092
163,-0.021488988504430595
164,-0.018597269191856225
165,-0.013042843478435429
166,-0.0074451184257218195
167,-0.0151980680917283
168,-0.0077294733054829035
169,0.008025938469204297
170,-0.019954771133899096
171,-0.02547699296372108
172,-0.04738368478189148
173,-0.03215686322266331
174,-0.04621669993273625
175,-0.04167683186311677
176,-0.030325842412324167
177,-0.030247227049420955
178,-0.02897314399073403
179,-0.03349014459678945
180,-0.041961592674183756
181,-0.05961804840947227
182,-0.05475187922515212
183,-0.07293929310851699
184,-0.07112735106955381
185,-0.05870835635302041
186,-0.044502722648922854
187,-0.04905436272641239
188,-0.03765662352022725
189,-0.03643727353261483
190,-0.04108207484480131
191,-0.024945967160427074
192,-0.037966281451387474
193,-0.019583073368158566
194,-0.015355366472752263
195,-0.009764880528326803
196,-0.0010835659657982832
197,-0.006546521824963403
198,-0.012290111526919167
199,-0.012976000123402165
200,-0.009092522975372774
201,-0.023325557042616407
202,-0.019398509934423713
203,-0.02279209565148721
204,-0.017497804249910653
205,-0.01847082159007829
206,-0.040993040578381046
207,-0.04868963344808941
208,-0.08136297660225411
209,-0.07654254234506164
210,-0.08199859737202697
211,-0.06733047260010949
212,-0.04810631016155564
213,-0.035371771509926875
214,-0.016579181704729162
215,-0.018892381251222723
216,0.010016693248402708
217,0.019125115199922993
218,0.018318394384726266
219,0.007321715308739707
220,0.021165055322349247
221,0.03746739187647696
222,0.03167948800696396
223,0.019731305950020817
224,0.021283519608445545
225,0.013671495760793073
226,0.025025935627685625
227,0.04078588030195496
228,0.03476659558809647
229,0.03607937743127643
230,0.02666684527644292
231,0.03308482218788211
232,0.03515865757434833
233,0.038128315697649295
234,0.04674454594080357
235,0.0416015992610983
