,date,tic,open,high,low,close,volume,macd,rsi_30,cci_30,dx_30
0,2016-01-04,AAPL,25.65250015258789,26.342500686645508,25.5,24.074745178222656,270597600.0,-0.604352523577429,40.59271999772147,-128.0238981027362,46.71223492130516
0,2016-01-04,AMGN,159.0,159.22000122070312,156.08999633789062,128.32742309570312,5083200.0,0.6852101901075116,49.85018139784023,-99.11838959122643,20.08390713738965
0,2016-01-04,AXP,68.08999633789062,68.18000030517578,66.7699966430664,60.55811309814453,9248300.0,-0.6145369355945576,39.42780266421501,-181.8500113510691,36.14199363006858
0,2016-01-04,BA,141.3800048828125,141.6999969482422,139.42999267578125,126.005126953125,5719500.0,-0.4104011733630557,46.774693919717656,-168.09607592909774,17.581051829963272
0,2016-01-04,CAT,66.87999725341797,68.08000183105469,65.72000122070312,55.742794036865234,8586900.0,-0.26186228658900035,46.88784473563813,-47.01937203017829,20.46932920939655
0,2016-01-04,CRM,77.13999938964844,77.20999908447266,75.63999938964844,76.70999908447266,4919200.0,-0.2205551912496304,48.18026638855777,-139.8763037596923,24.192295047531154
0,2016-01-04,CSCO,26.389999389648438,26.420000076293945,25.8799991607666,21.17575454711914,35827100.0,-0.03303929150791163,46.420807808800866,-166.00207464731696,27.85794220292362
0,2016-01-04,CVX,89.52999877929688,90.11000061035156,87.56999969482422,65.12792205810547,11397300.0,0.08930429868554768,49.61286470025849,-59.304521188817205,6.155361057546652
0,2016-01-04,DIS,103.12000274658203,103.43000030517578,101.7300033569336,97.1557846069336,12531500.0,-2.036356936979004,40.727953666116555,-154.43135305190162,45.68790443032627
0,2016-01-04,GS,175.7899932861328,177.19000244140625,173.75999450683594,154.55247497558594,3745500.0,-1.575563987275416,44.40881847544907,-128.47921479298068,30.08405647343396
0,2016-01-04,HD,130.11000061035156,131.07000732421875,129.4499969482422,111.47857666015625,8050900.0,0.7508219817480182,54.7289948337904,-97.80682399453492,16.007356911658178
0,2016-01-04,HON,96.88140869140625,97.85385131835938,96.2807846069336,84.29166412353516,3504412.0,0.35803306822440106,50.59100236284564,-60.52839387220653,8.975335597614635
0,2016-01-04,IBM,129.63670349121094,129.9904327392578,128.33651733398438,93.68705749511719,5469952.0,-0.1130073994143288,45.239624290344395,-144.09286046830815,18.11595461673693
0,2016-01-04,INTC,33.880001068115234,34.0099983215332,33.459999084472656,27.522565841674805,27882200.0,0.12886974776436233,51.60514516404534,-185.28095129023032,13.934991448685116
0,2016-01-04,JNJ,101.70999908447266,101.80999755859375,99.44999694824219,82.85253143310547,12722800.0,0.2710949496330528,49.242995293749715,-189.301519688355,28.296697379587087
0,2016-01-04,JPM,63.95000076293945,64.05999755859375,63.0099983215332,52.23164367675781,25393200.0,-0.0508236046189765,46.81623199335312,-220.28731532018148,24.80360016539987
0,2016-01-04,KO,42.34000015258789,42.5,41.970001220703125,33.888336181640625,16084100.0,0.15758144340929903,50.645309331628034,-157.57628494075456,20.458365770887276
0,2016-01-04,MCD,117.25,117.7300033569336,115.87000274658203,98.22632598876953,9995000.0,1.2609751088500474,61.827633408064166,32.36395274223213,10.598934516434412
0,2016-01-04,MMM,148.0500030517578,148.32000732421875,145.39999389648438,116.48333740234375,3277200.0,-1.1527777181766652,43.825507926865676,-133.08723593839017,34.59381669571411
0,2016-01-04,MRK,49.627864837646484,50.200382232666016,49.24618148803711,40.28294372558594,17998981.0,-0.03024192911747292,48.734017257503126,-108.11522225967929,14.38181922202801
0,2016-01-04,MSFT,54.31999969482422,54.79999923706055,53.38999938964844,49.00794982910156,53778000.0,0.4622286445963866,55.40220332736764,-75.87214936649687,25.95904378196416
0,2016-01-04,NKE,61.11000061035156,61.90999984741211,60.86000061035156,57.09966278076172,11626800.0,-0.4700032669552243,45.617653797568785,-205.83546744600727,20.521804732195132
0,2016-01-04,PG,78.36000061035156,78.5,77.54000091552734,63.81034469604492,11529800.0,0.6613190270634632,53.950908985207874,6.462443350057104,3.2261774047678373
0,2016-01-04,TRV,110.70999908447266,110.95999908447266,108.7300033569336,93.49964904785156,2846000.0,0.1107712645698058,48.71364315241889,-157.65376928172898,24.138384057057447
0,2016-01-04,UNH,116.91000366210938,116.91000366210938,114.52999877929688,104.80780792236328,4991000.0,0.6148418288581183,49.714800990366385,-9.589151821793063,11.849521943486454
0,2016-01-04,V,76.05999755859375,76.37999725341797,75.01000213623047,72.04981231689453,13476800.0,-0.2245837233816843,47.17182209620035,-200.06676885326962,29.958808936348024
0,2016-01-04,VZ,45.66999816894531,45.90999984741211,45.36000061035156,32.7987174987793,17821600.0,0.21236932752348991,50.91361654783457,-6.701925743050166,4.387860273218012
0,2016-01-04,WBA,83.69999694824219,83.7699966430664,82.12000274658203,65.86221313476562,6347600.0,0.31511807391530056,47.42150345342838,-55.436262699904695,16.817534014768984
