date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2016-04-05,0,0,34,65,0,0,23,0,0,100,100,100,0,100,9,100,0,0,100,23,0,100,100,0,70,100,100,0,0
2016-04-06,0,0,-34,100,37,64,42,0,100,20,69,3,0,20,-9,2,69,70,-2,97,0,100,-5,0,-70,100,100,25,100
2016-04-07,0,0,80,-74,-37,-34,100,12,-8,100,100,21,0,37,0,100,-47,1,-73,-100,0,-29,-21,94,0,100,100,1,100
2016-04-08,0,100,100,16,24,44,-29,-12,-92,96,-100,80,0,-100,43,13,-21,-64,-25,80,0,-54,-74,-72,0,93,74,-26,-86
2016-04-11,16,-100,-98,-5,0,-74,12,0,15,27,21,86,0,-27,-43,-100,-1,-7,100,28,0,-96,0,90,0,-27,100,100,25
2016-04-12,100,0,8,9,-24,0,16,12,-15,59,96,100,0,-30,43,-67,64,0,100,13,0,-21,0,66,62,95,94,100,77
2016-04-13,-7,56,100,12,0,0,-20,-12,0,100,100,-81,33,18,-43,-48,-64,0,60,-26,70,68,77,100,6,100,100,100,69
2016-04-14,-100,-56,-100,-74,0,0,100,0,0,-18,-24,-54,-33,-18,0,100,0,24,-41,7,-70,62,-77,64,-68,100,100,57,100
2016-04-15,88,0,-47,-49,0,0,29,0,11,-27,-68,67,0,0,0,-26,0,-13,-30,-9,0,-50,0,100,68,49,81,47,100
2016-04-18,-34,0,100,100,0,100,100,7,-11,90,100,11,32,0,60,22,22,-11,-13,-100,0,2,0,30,-68,100,100,60,100
2016-04-19,100,100,100,2,0,-82,-43,-7,100,-86,100,100,37,0,-60,-96,-22,0,38,70,0,-9,4,100,23,100,100,100,-26
2016-04-20,-100,100,-4,100,0,-18,-100,0,-39,65,80,100,37,0,52,100,0,0,42,11,0,-73,-4,-54,-23,73,100,100,100
2016-04-21,85,-100,18,1,100,0,44,0,-61,100,-22,-100,-100,12,-52,93,2,0,-86,3,100,0,0,-16,0,-4,100,100,63
2016-04-22,-8,19,-49,-85,14,0,39,67,100,31,100,100,-6,-12,0,-74,-2,100,-100,49,48,74,32,100,37,40,-1,100,-42
2016-04-25,11,-100,76,100,100,0,-45,-64,22,-100,-9,100,0,0,0,-37,0,-100,49,-63,-100,-22,33,94,-37,100,100,39,-16
2016-04-26,54,100,-46,73,10,51,-100,-3,100,-11,20,100,52,0,0,100,0,100,100,-27,-13,-52,-59,-77,0,100,49,78,100
2016-04-27,72,-100,-100,100,49,13,-79,0,-56,100,100,43,100,0,51,36,76,-100,100,100,-35,0,-6,75,0,82,96,-23,100
2016-04-28,-51,21,-6,-100,-100,11,72,0,67,-100,31,100,-100,0,-51,-100,-76,0,-100,100,100,0,100,-71,0,99,100,4,100
2016-04-29,40,-40,-69,38,-100,-38,89,0,-12,-61,100,-33,-52,0,34,56,0,0,100,72,-58,81,-28,-80,0,-4,100,-28,42
2016-05-02,100,100,100,100,58,-37,100,0,-9,15,100,79,27,0,-22,-100,0,44,-62,54,-42,88,60,-58,0,-100,23,91,100
2016-05-03,77,1,89,100,-39,100,100,0,-60,-45,53,-100,-27,0,-12,-62,68,-44,-100,100,0,-18,-63,84,0,33,77,3,100
2016-05-04,63,100,-49,100,81,-100,49,17,-100,39,-18,100,100,22,0,100,100,0,100,-24,67,100,-31,83,0,-24,46,67,1
2016-05-05,100,49,-43,-9,-72,0,100,-17,-24,-20,95,-7,-100,-22,0,9,-100,0,0,24,100,-100,30,-20,0,100,80,14,57
2016-05-06,52,12,32,75,-34,0,100,71,100,-3,-4,100,0,0,0,69,18,0,21,-100,60,-66,-68,92,0,100,100,82,100
