account_rewards,date
582.2683894593501,2016-04-05
-1937.8652797202813,2016-04-06
142.8116169204004,2016-04-07
-130.01047941599973,2016-04-08
2141.862469848711,2016-04-11
3385.6814087257953,2016-04-12
655.8216579684522,2016-04-13
-735.4714970550267,2016-04-14
2436.006036743289,2016-04-15
1392.19800307462,2016-04-18
877.9115931376582,2016-04-19
-6438.408037124784,2016-04-20
272.4050301912939,2016-04-21
-1950.5134390409803,2016-04-22
1850.1884126872756,2016-04-25
3813.6487367820228,2016-04-26
-10047.697397342534,2016-04-27
-3052.583668235806,2016-04-28
7512.343753610738,2016-04-29
-6766.4547473755665,2016-05-02
-3722.546449155896,2016-05-03
796.5956668930594,2016-05-04
1712.626995975501,2016-05-05
1821.0485620041145,2016-05-06
11306.125150796957,2016-05-09
-13503.049260173808,2016-05-10
1504.3325324058533,2016-05-11
-11457.310231212643,2016-05-12
9787.581032085465,2016-05-13
-13104.089776235633,2016-05-16
-700.2535769767128,2016-05-17
-2558.499567302759,2016-05-18
4825.774588230182,2016-05-19
-2554.536924213404,2016-05-20
12891.516205684631,2016-05-23
5270.220431816182,2016-05-24
-1312.9874657650944,2016-05-25
2817.3776055851486,2016-05-26
-4275.199529964477,2016-05-27
565.8888768769102,2016-05-31
4023.1000748138176,2016-06-01
-2639.22715575411,2016-06-02
4459.248623993015,2016-06-03
2282.93181221385,2016-06-06
2856.1650673066033,2016-06-07
-814.3311738701304,2016-06-08
-1834.9677955150837,2016-06-09
-7332.920916318893,2016-06-10
-2821.339198307018,2016-06-13
-1423.3253969077487,2016-06-14
4084.519086254062,2016-06-15
-4515.015936435666,2016-06-16
6498.054151227931,2016-06-17
935.6922995281639,2016-06-20
-2392.4954660416115,2016-06-21
13202.340154399863,2016-06-22
-31567.96727262868,2016-06-23
-15596.269862278015,2016-06-24
15526.119690597523,2016-06-27
14522.355946800206,2016-06-28
6206.074851287878,2016-06-29
3599.058226947789,2016-06-30
