account_value,date,daily_return
1231482.1137594278,2018-04-05,
1202623.4489048442,2018-04-06,-0.023434091759956477
1204565.563778242,2018-04-09,0.0016148985579538255
1226565.96174864,2018-04-10,0.018264176423399947
1216075.2921931248,2018-04-11,-0.008552878428616628
1228461.8827098217,2018-04-12,0.010185710207431642
1220946.1869629382,2018-04-13,-0.00611797228116262
1232501.4229083727,2018-04-16,0.009464164816450849
1250753.7763779315,2018-04-17,0.014809194642946721
1246996.9748769703,2018-04-18,-0.0030036299485263207
1244872.7100702533,2018-04-19,-0.001703504378530285
1243697.3383081607,2018-04-20,-0.0009441702373139682
1243375.7750273948,2018-04-23,-0.00025855428878163167
1239098.5444427575,2018-04-24,-0.0034400144112048947
1240028.5552009363,2018-04-25,0.0007505543141421711
1242581.0562900323,2018-04-26,0.002058421218116502
1243374.6704540027,2018-04-27,0.0006386820078683186
1240605.1116184774,2018-04-30,-0.0022274531573930334
1240193.1663432736,2018-05-01,-0.0003320518925368221
1238211.0585754742,2018-05-02,-0.0015982250358980155
1237583.7755726739,2018-05-03,-0.0005066042646412194
1242582.3816415712,2018-05-04,0.004039004201217944
1241875.6714741709,2018-05-07,-0.000568743109383707
1241484.2268895763,2018-05-08,-0.00031520432647647034
1243414.9789629178,2018-05-09,0.001555196619918986
1247242.9156123851,2018-05-10,0.0030785672637303474
1251015.2078405311,2018-05-11,0.003024504834564512
1252947.8634149367,2018-05-14,0.0015448697684032897
1247258.4799420172,2018-05-15,-0.0045407982558930415
1249534.1677179192,2018-05-16,0.0018245518571320396
1249582.1068525594,2018-05-17,3.836560526204735e-05
1250070.7942188233,2018-05-18,0.0003910806369458175
1254814.467924878,2018-05-21,0.0037947240492239853
1252672.975652051,2018-05-22,-0.0017066206419890095
1253326.8169348955,2018-05-23,0.0005219568838421562
1252622.9236924562,2018-05-24,-0.0005616198687591334
1251839.5188613366,2018-05-25,-0.0006254115395000204
1242239.6580834473,2018-05-29,-0.00766860338985087
1249925.730059178,2018-05-30,0.006187269844201371
1242761.7801088109,2018-05-31,-0.005731500502856313
1250277.7556381153,2018-06-01,0.006047800672343229
1257187.8768700946,2018-06-04,0.0055268688903871155
1256229.404089703,2018-06-05,-0.0007623942276454576
1266050.941609486,2018-06-06,0.00781826749780623
1269741.8687340855,2018-06-07,0.0029153069622200878
1273450.4039527783,2018-06-08,0.0029207001123703336
1273991.4713564727,2018-06-11,0.00042488298092724364
1275752.4802363326,2018-06-12,0.0013822768200990598
1273751.9839658896,2018-06-13,-0.001568091225715218
1277565.1491132474,2018-06-14,0.0029936480534344945
1278757.7791783721,2018-06-15,0.0009335180017648881
1274078.6214309088,2018-06-18,-0.003659143133791787
1268667.3760390058,2018-06-19,-0.00424718325924478
1270330.6792838254,2018-06-20,0.001311063306453697
1264255.8856454818,2018-06-21,-0.004782056937937207
1262664.6908683362,2018-06-22,-0.001258601834653983
1252149.496697644,2018-06-25,-0.008327780325797285
1253858.0575389946,2018-06-26,0.0013645022785671035
1246178.2852967423,2018-06-27,-0.006124913578595681
1243799.6920817078,2018-06-28,-0.0019087102087228525
1246211.7430471845,2018-06-29,0.0019392599795871046
1250793.38018356,2018-07-02,0.00367645158371932
1244398.842672959,2018-07-03,-0.0051123851564218725
