account_rewards,date
3352.8342615433503,2017-10-03
4518.555638862541,2017-10-04
-2913.4691397170536,2017-10-05
-3876.3365389404353,2017-10-06
4288.629275024403,2017-10-09
4972.048102142289,2017-10-10
-1698.0462432249915,2017-10-11
-2516.1530537605286,2017-10-12
-1643.6318784179166,2017-10-13
15037.117761432426,2017-10-16
4268.857398986816,2017-10-17
-1160.8014575382695,2017-10-18
1852.0447914125398,2017-10-19
-1574.2420803068671,2017-10-20
6607.164301681332,2017-10-23
-699.3534290315583,2017-10-24
207.50900764460675,2017-10-25
581.8887184143532,2017-10-26
-466.3844657896552,2017-10-27
78.07504386897199,2017-10-30
621.2679306028876,2017-10-31
2891.334344482515,2017-11-01
-11.99972152733244,2017-11-02
-1139.9986840896308,2017-11-03
130.74426257330924,2017-11-06
1424.236374069238,2017-11-07
-5422.380136192311,2017-11-08
-1084.6516085967887,2017-11-09
3175.765159545932,2017-11-10
-381.27306365966797,2017-11-13
-6380.216262817383,2017-11-14
15375.49365234375,2017-11-15
-1175.437934242189,2017-11-16
733.0594928739592,2017-11-17
2899.4701339721214,2017-11-20
-2982.760079193162,2017-11-21
473.8624469758943,2017-11-22
975.9572137375362,2017-11-24
14253.767793785082,2017-11-27
6344.230769363232,2017-11-28
18409.616560898023,2017-11-29
-2594.53115876019,2017-11-30
-1193.9928823090158,2017-12-01
-3311.9354972839355,2017-12-04
1047.7131805419922,2017-12-05
3731.725028991699,2017-12-06
6859.407051086426,2017-12-07
1651.9125137329102,2017-12-08
6633.665752410889,2017-12-11
4222.931861877441,2017-12-12
-4962.584579467773,2017-12-13
6602.023921966553,2017-12-14
7102.798614501953,2017-12-15
-1761.0406227111816,2017-12-18
-1811.6096954345703,2017-12-19
2027.5840225219727,2017-12-20
-2560.627239227295,2017-12-21
1218.9769134521484,2017-12-22
1782.611099243164,2017-12-26
3362.7345695495605,2017-12-27
-6350.725101470947,2017-12-28
5988.278148651123,2017-12-29
