date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2017-04-04,0,-100,-91,9,0,0,4,0,0,100,-37,0,-87,100,0,-4,-83,-8,0,100,100,0,0,-2,0,100,0,0,-69
2017-04-05,100,0,100,0,0,0,-100,1,0,0,0,0,0,-55,0,-28,0,0,0,-56,-100,0,0,-22,25,0,-20,100,-41
2017-04-06,0,-100,69,0,0,0,0,-95,-64,0,-79,0,87,-25,0,100,0,12,0,-38,-1,0,99,-100,77,0,2,63,62
2017-04-07,-43,-100,-100,-9,0,0,52,-100,-1,-100,-100,100,-100,-100,38,-25,74,-24,66,-6,100,0,25,38,-44,-100,-45,-49,-49
2017-04-10,-57,-91,38,0,0,0,-100,-19,0,71,-100,-74,-2,-73,-38,99,-74,86,44,100,-2,0,100,2,-14,8,-32,100,59
2017-04-11,0,89,26,59,0,0,-29,0,100,-35,12,22,94,-100,0,-100,0,74,100,54,-98,0,100,-80,100,-100,-100,-100,100
2017-04-12,0,100,-74,0,0,0,0,100,0,81,-96,-35,-26,0,0,-100,0,0,-100,17,0,0,0,100,0,-15,1,0,-22
2017-04-13,2,-1,100,0,0,0,-17,-68,-100,81,0,0,-68,0,100,-21,0,0,100,-17,0,0,-69,-9,-100,0,-15,0,0
2017-04-17,82,100,100,0,0,0,0,0,0,0,0,-13,0,0,-100,-100,0,-37,0,0,0,0,-25,-100,0,-8,0,100,100
2017-04-18,100,-100,-32,-59,0,0,-45,100,0,13,-83,0,72,-17,100,71,0,5,100,-31,0,100,-100,-13,-36,-42,-100,40,-100
2017-04-19,0,100,0,0,0,0,-33,0,0,-38,-46,0,100,0,100,-79,0,0,-63,1,0,-100,0,87,-8,0,100,-84,-26
2017-04-20,-100,3,-26,0,0,81,0,0,0,0,83,0,100,-81,-100,0,0,0,-95,-100,0,0,0,0,0,-22,100,100,-5
2017-04-21,100,-34,-23,25,0,0,4,0,50,-22,99,0,-45,-25,-74,59,0,0,42,-24,0,0,-4,-87,0,62,-18,-98,-3
2017-04-24,100,0,-69,-25,0,0,0,100,0,36,0,0,100,-15,-26,-75,0,0,0,1,0,0,-100,0,0,0,-100,0,-19
2017-04-25,0,-58,-32,0,0,-34,-4,-79,-23,0,-52,0,0,0,0,-2,0,100,0,0,45,100,-100,100,0,100,-74,0,0
2017-04-26,-100,0,-87,0,0,-45,0,-15,100,0,0,23,-100,0,0,0,0,-100,100,0,100,100,0,-100,0,100,0,-10,0
2017-04-27,-90,-94,-100,0,100,0,0,-100,0,0,-43,-23,-7,0,100,0,0,-98,100,-1,-100,0,-39,31,100,100,0,-28,0
2017-04-28,-12,-100,10,49,-100,60,70,8,53,-50,-100,10,-82,56,-100,100,0,-96,-1,0,100,100,28,-1,49,-15,16,8,100
2017-05-01,-55,-100,-100,27,0,46,-57,100,100,-1,-100,75,-98,-56,0,-25,0,100,100,99,-52,-100,93,13,-74,-7,-20,-100,-100
2017-05-02,-27,35,-56,100,0,-7,-13,-32,0,100,-100,-9,-11,1,0,0,0,-46,81,100,-63,-100,0,-43,0,100,100,0,-12
