date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2016-07-05,100,-90,0,-100,-100,-36,0,-44,-100,100,100,100,100,100,-75,100,5,0,100,0,0,0,0,-100,0,-33,-100,100,-100
2016-07-06,100,0,0,-100,0,0,0,0,-100,100,100,62,0,0,0,0,0,0,100,0,0,0,0,-100,0,-72,-100,0,-100
2016-07-07,100,0,0,-100,0,0,0,0,0,100,100,87,0,1,0,0,100,0,0,0,0,0,0,-100,0,-91,-100,0,-100
2016-07-08,100,0,0,-100,0,0,0,0,0,0,15,100,0,0,0,100,100,100,0,0,2,0,0,-100,0,-99,-100,100,-100
2016-07-11,100,0,0,-100,0,0,0,0,0,0,16,100,0,0,0,100,100,100,0,0,1,0,0,-100,0,-99,-100,100,-100
2016-07-12,100,0,0,-100,0,0,0,0,0,0,14,100,0,0,0,100,100,100,0,0,2,0,0,-100,0,-99,-100,100,-100
2016-07-13,100,0,0,-100,0,0,0,0,0,0,17,100,0,0,0,100,100,100,-97,0,0,0,0,-23,0,-99,-100,100,-7
2016-07-14,100,0,0,-100,0,0,0,0,0,0,0,100,0,0,0,100,100,93,-98,0,0,0,0,0,0,-99,-100,100,0
2016-07-15,100,0,100,-100,0,0,-70,0,0,53,0,0,100,0,0,0,0,0,-99,0,0,0,0,0,100,-99,-100,0,0
2016-07-18,100,0,0,-100,0,0,-99,0,0,0,0,100,0,1,0,100,100,100,-85,0,1,0,0,0,0,-99,-100,100,0
2016-07-19,100,0,0,-93,0,0,-26,0,0,0,0,0,100,0,0,100,33,0,-56,0,100,0,0,0,0,-97,-100,100,0
2016-07-20,100,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,-100,1,0
2016-07-21,100,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,-99,-100,0,0
2016-07-22,100,0,1,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,-99,-100,0,0
2016-07-25,100,0,0,0,0,0,0,0,0,0,0,0,92,-47,0,0,0,0,0,0,0,1,0,0,0,-99,-100,0,0
2016-07-26,100,0,19,0,0,0,0,0,0,0,0,0,100,-55,0,0,1,0,0,0,-36,0,0,0,0,-99,-100,0,0
2016-07-27,100,0,1,0,0,0,0,0,0,0,0,0,79,0,0,0,1,0,0,0,0,0,0,0,0,-100,-100,0,0
2016-07-28,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-59,-100,94,0
2016-07-29,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,-63,0,0,0,0,0,-100,0,0
2016-08-01,100,0,20,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,-96,0,0,0,0,0,-100,0,0
2016-08-02,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,1,0,0,0,-40,0,0,0,0,0,-100,0,0
2016-08-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,-100,0,0
2016-08-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,-100,0,0
2016-08-05,-3035,0,-448,0,0,0,0,0,0,-488,-1860,-2071,-733,0,-76,-1060,-822,-676,0,0,0,-123,-63,0,-144,0,-474,-2140,0
2016-08-08,100,0,100,0,0,0,100,0,0,100,100,100,100,100,100,100,100,100,100,0,100,100,100,0,100,0,0,100,0
2016-08-09,100,0,100,0,0,0,100,0,0,100,100,100,100,100,100,100,100,100,100,0,100,100,100,0,100,0,0,100,0
2016-08-10,100,0,100,0,0,0,100,0,0,100,100,100,100,100,100,100,100,100,100,0,100,100,100,0,100,0,0,100,0
2016-08-11,100,0,100,0,0,0,100,0,0,100,100,100,100,100,100,100,100,100,100,0,100,100,100,0,100,0,0,100,0
2016-08-12,100,0,100,0,0,0,100,0,0,100,100,100,100,100,100,100,100,100,100,0,100,100,100,0,100,0,0,100,0
2016-08-15,100,0,100,0,0,0,100,0,0,100,100,100,100,100,100,100,100,100,100,0,100,100,100,0,100,0,0,100,0
2016-08-16,100,0,100,0,0,0,100,0,0,100,100,100,100,100,100,100,100,100,100,0,100,100,100,0,100,0,0,100,0
2016-08-17,100,0,0,0,0,0,0,0,0,0,100,0,0,100,0,70,1,0,0,0,0,0,0,0,0,0,0,100,0
2016-08-18,0,0,0,0,0,0,1,0,0,0,0,0,0,-100,80,0,1,0,0,0,-100,0,0,0,0,0,0,0,0
2016-08-19,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,80,0,2,0,0,0,-100,0,0,0,0,0,0,0,0
2016-08-22,0,0,0,0,0,0,1,0,0,0,0,0,0,-100,81,0,1,0,0,0,-100,0,0,0,0,0,0,0,0
2016-08-23,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,81,0,1,0,0,0,-100,0,0,0,0,0,0,0,0
2016-08-24,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,82,0,0,0,0,0,-100,0,0,0,0,0,0,0,0
2016-08-25,0,0,1,0,0,0,0,0,0,0,0,0,0,-99,81,0,0,0,0,0,-100,0,0,0,0,0,0,0,0
2016-08-26,0,0,1,0,0,0,0,0,0,0,0,0,0,-99,81,0,0,0,0,0,-100,0,0,0,0,0,0,0,0
2016-08-29,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-30,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
