date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2018-01-03,0,0,0,78,-100,100,0,100,0,-100,0,0,100,-100,-100,-100,-100,0,100,0,0,0,0,0,0,0,0,4,-100
2018-01-04,0,0,0,79,-100,100,0,100,0,-100,0,0,100,-100,-100,-100,-100,0,100,0,0,0,0,0,0,0,0,1,-100
2018-01-05,0,0,0,75,-100,100,1,100,0,-100,0,0,100,-100,-100,-100,-100,0,100,0,0,0,0,0,0,0,0,3,-100
2018-01-08,0,0,0,75,-100,100,1,100,0,-100,0,0,100,-100,-100,-100,-100,0,100,0,0,0,0,0,0,0,0,2,-100
2018-01-09,0,0,0,74,-100,100,1,100,0,-100,0,0,100,-100,-100,-100,-100,0,100,0,0,0,0,0,0,0,0,0,-100
2018-01-10,0,0,0,0,-2,0,0,0,0,0,0,0,0,-1,0,0,-100,0,65,0,0,0,0,0,0,0,0,1,-100
2018-01-11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-100,0,63,0,0,0,0,0,0,0,0,0,-100
2018-01-12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-100,0,63,0,0,0,0,0,0,0,0,0,-100
2018-01-16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-100,0,63,0,0,0,0,0,0,0,0,0,-100
2018-01-17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-100,0,63,0,0,0,0,0,0,0,0,0,-100
2018-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-23,0,0,-1000,-915,0,-1002,-5,-1004,0,0,0,0,-1000,0,0,0,0,-500,-1317,0,-500,-500,0,0,-495,0,-402,-511,0
