account_rewards,date
-4009.413429717999,2016-10-03
4492.301106811501,2016-10-04
-1148.6593665122055,2016-10-05
-9045.03978729248,2016-10-06
768.6640473556472,2016-10-07
-13323.708791313227,2016-10-10
1233.6356120910496,2016-10-11
126.48125149542466,2016-10-12
82.55254415888339,2016-10-13
-3078.631421813974,2016-10-14
2135.638727165293,2016-10-17
1133.6065698928433,2016-10-18
12449.881963394233,2016-10-19
-1002.6422616501804,2016-10-20
682.4608474731212,2016-10-21
-2181.634165382362,2016-10-24
2030.9286350249313,2016-10-25
-1077.092847633292,2016-10-26
-6094.019077301142,2016-10-27
-3614.878541946411,2016-10-28
-4608.025880432106,2016-10-31
-4639.124079704285,2016-11-01
-2383.0855920790927,2016-11-02
-1006.5184692917392,2016-11-03
21317.269569396973,2016-11-04
405.36962127685547,2016-11-07
20944.32423400879,2016-11-08
-1021.4279978255508,2016-11-09
0.0,2016-11-10
-323.0126728058094,2016-11-11
246.34542160038836,2016-11-14
-426.24614925391506,2016-11-15
558.576861190726,2016-11-16
-2796.5629264833406,2016-11-17
1280.8307411193382,2016-11-18
4344.205962753389,2016-11-21
5190.931725502014,2016-11-22
3364.2439449309604,2016-11-23
-2573.8668719596462,2016-11-25
1740.1327514648438,2016-11-28
-4684.708545684814,2016-11-29
54.92622375488281,2016-11-30
-738.723258972168,2016-12-01
1535.3179321289062,2016-12-02
1148.553840637207,2016-12-05
15012.388935089111,2016-12-06
88.3078842163086,2016-12-07
9477.926383972168,2016-12-08
5270.465618133545,2016-12-09
6396.659160614014,2016-12-12
-9141.802257537842,2016-12-13
1739.4810905456543,2016-12-14
-1323.569149017334,2016-12-15
4713.201126098633,2016-12-16
3920.471366882324,2016-12-19
-1924.7671585083008,2016-12-20
-3231.175247192383,2016-12-21
755.9031982421875,2016-12-22
1342.8425178527832,2016-12-23
-7533.919296264648,2016-12-27
228.2910919189453,2016-12-28
-4441.940654754639,2016-12-29
