date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2016-10-03,2,100,100,100,100,0,100,0,100,-100,100,46,-100,0,-100,-100,-100,-100,0,0,0,-100,-100,0,-100,0,0,100,100
2016-10-04,2,100,100,100,100,0,100,0,100,-100,100,46,-100,0,-100,-100,-100,-100,0,0,0,-100,-100,0,-100,0,0,100,100
2016-10-05,3,100,100,100,100,0,100,0,100,-100,100,47,-100,0,-100,-100,-100,-100,0,0,0,-100,-100,0,-100,0,0,100,100
2016-10-06,0,100,100,100,100,0,100,0,100,-100,100,50,-100,0,-100,-100,-100,-100,0,0,0,-100,-100,0,-100,0,0,100,100
2016-10-07,3,100,100,100,100,0,100,0,100,-100,100,60,-100,0,-100,-100,-100,-100,0,0,0,-100,-100,0,-100,0,0,100,100
2016-10-10,0,100,100,100,100,0,100,0,100,-100,100,65,-100,0,-100,-100,-100,-100,0,0,0,-100,-100,0,-100,0,0,100,100
2016-10-11,0,100,100,100,100,0,100,0,100,-100,100,67,-100,0,-100,-100,-100,-100,0,0,0,-100,-100,0,-100,0,0,100,100
2016-10-12,0,13,1,0,0,0,0,0,0,0,0,0,0,0,-100,-70,-6,0,0,0,0,0,0,0,0,0,0,100,100
2016-10-13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,62,100
2016-10-14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,27,0,0,0,0,0,0,0,0,0,100
2016-10-17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,62,100
2016-10-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,58,100
2016-10-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-96,0,0,0,0,0,0,0,0,0,0,0,0,51,100
2016-10-20,-810,-714,-1404,-700,-700,0,-1404,0,-700,0,-1500,-1081,0,0,0,0,0,0,-727,0,0,0,0,0,0,0,0,-1833,-1300
2016-10-21,0,100,100,100,100,0,100,0,100,0,100,100,0,0,0,0,0,0,100,0,100,0,0,0,0,0,100,100,100
2016-10-24,0,100,100,100,100,0,100,0,100,0,100,100,0,0,0,0,0,0,100,0,100,0,0,0,0,0,100,100,100
2016-10-25,0,100,100,100,100,0,100,0,100,0,100,100,0,0,0,0,0,0,100,0,100,0,0,0,0,0,100,100,100
2016-10-26,0,100,100,100,100,0,100,0,100,0,100,100,0,0,0,0,0,0,100,0,100,0,0,0,0,0,100,100,100
2016-10-27,0,100,100,100,100,0,100,0,100,0,100,100,0,0,0,0,0,0,100,0,100,0,0,0,0,0,100,100,100
2016-10-28,0,100,100,100,100,0,100,0,100,0,100,100,0,0,0,0,0,0,100,0,100,0,0,0,0,0,100,100,100
2016-10-31,0,100,100,100,100,0,100,0,100,0,100,100,0,0,0,0,0,0,100,0,100,0,0,0,0,0,100,100,100
2016-11-01,0,100,100,100,100,0,100,0,100,0,100,100,0,0,0,0,0,0,100,0,100,0,0,0,0,0,100,100,100
2016-11-02,0,100,100,100,100,0,100,0,100,0,100,100,0,0,0,0,0,0,100,0,100,0,0,0,0,0,100,100,100
2016-11-03,0,100,100,100,17,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100
2016-11-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
