account_value,date,daily_return
1010848.5284068467,2016-10-03,
1006839.1149771287,2016-10-04,-0.003966384000219203
1011331.4160839402,2016-10-05,0.004461786436369852
1010182.756717428,2016-10-06,-0.0011357892657581914
1001137.7169301355,2016-10-07,-0.008953864760752994
1001906.3809774911,2016-10-10,0.0007677905190832668
988582.6721861779,2016-10-11,-0.013298357056389043
989816.307798269,2016-10-12,0.001247883102546199
989942.7890497644,2016-10-13,0.00012778254964973534
990025.3415939233,2016-10-14,8.339122732348159e-05
986946.7101721093,2016-10-17,-0.0031096491094434464
989082.3488992746,2016-10-18,0.0021638845392097927
990215.9554691674,2016-10-19,0.00114611950274357
1002665.8374325617,2016-10-20,0.012572895735148526
1001663.1951709115,2016-10-21,-0.0009999764868997563
1002345.6560183846,2016-10-24,0.0006813276665882384
1000164.0218530023,2016-10-25,-0.0021765287775561415
1002194.9504880272,2016-10-26,0.002030595572976246
1001117.8576403939,2016-10-27,-0.0010747338600227696
995023.8385630928,2016-10-28,-0.00608721443813276
991408.9600211463,2016-10-31,-0.0036329567210837688
986800.9341407142,2016-11-01,-0.004647956661934738
982161.81006101,2016-11-02,-0.004701175200795604
979778.7244689309,2016-11-03,-0.0024263675981568422
978772.2059996391,2016-11-04,-0.001027291616111925
1000089.4755690361,2016-11-07,0.021779602484344407
1000494.845190313,2016-11-08,0.0004053333538442949
1021439.1694243217,2016-11-09,0.020933965162034163
1020417.7414264962,2016-11-10,-0.0009999890628838992
1020417.7414264962,2016-11-11,0.0
1020094.7287536904,2016-11-14,-0.00031654944802728124
1020341.0741752908,2016-11-15,0.00024149269146933605
1019914.8280260368,2016-11-16,-0.0004177486921208562
1020473.4048872276,2016-11-17,0.000547670105230047
1017676.8419607442,2016-11-18,-0.002740456451966411
1018957.6727018636,2016-11-21,0.0012585829688838146
1023301.878664617,2016-11-22,0.004263382159176654
1028492.810390119,2016-11-23,0.005072727641501018
1031857.0543350499,2016-11-25,0.0032710427442412815
1029283.1874630903,2016-11-28,-0.0024944025542552595
1031023.3202145551,2016-11-29,0.001690625838117299
1026338.6116688703,2016-11-30,-0.004543746444755414
1026393.5378926252,2016-12-01,5.3516668992559246e-05
1025654.814633653,2016-12-02,-0.0007197271141134998
1027190.1325657819,2016-12-05,0.0014969148589014658
1028338.6864064191,2016-12-06,0.001118151162305514
1043351.0753415083,2016-12-07,0.014598681478716458
1043439.3832257246,2016-12-08,8.463870532504636e-05
1052917.3096096967,2016-12-09,0.009083351209796087
1058187.7752278303,2016-12-12,0.005005583600945052
1064584.4343884443,2016-12-13,0.006044918785077513
1055442.6321309065,2016-12-14,-0.00858720263253654
1057182.113221452,2016-12-15,0.0016481057686987821
1055858.5440724348,2016-12-16,-0.0012519783795661432
1060571.7451985334,2016-12-19,0.004463856595714022
1064492.2165654157,2016-12-20,0.003696564032213079
1062567.4494069074,2016-12-21,-0.001808155220447305
1059336.274159715,2016-12-22,-0.0030409130723850764
1060092.1773579572,2016-12-23,0.000713563026850661
1061435.01987581,2016-12-27,0.001266722410120602
1053901.1005795454,2016-12-28,-0.00709786200303264
1054129.3916714643,2016-12-29,0.00021661528941696595
1049687.4510167097,2016-12-30,-0.004213847645127666
