date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2017-01-03,1,0,-27,100,-18,0,-94,0,0,0,53,-70,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,-61,0,0
2017-01-04,-1,95,-39,-81,10,55,-100,0,0,0,-21,-100,0,0,0,0,64,96,60,0,-100,63,0,100,0,0,-85,-100,-100
2017-01-05,0,-33,-76,-20,-73,0,0,100,-100,0,-7,-40,0,0,100,0,100,-23,0,0,-83,-51,0,100,100,0,35,0,-100
2017-01-06,91,3,-29,-85,-100,-55,-100,100,21,100,-13,-100,0,49,-100,0,-100,-73,-100,0,-100,-12,0,-100,100,100,-36,-15,-2
2017-01-09,-41,61,-6,59,-100,0,100,100,-96,66,-56,-5,27,21,92,0,-64,0,15,100,-66,0,70,46,-28,78,-55,-89,-100
2017-01-10,-23,0,-22,0,-77,0,100,0,-1,95,-24,0,-27,100,100,0,0,0,-15,93,-69,100,-35,-83,69,-100,-26,-26,-100
2017-01-11,-27,21,-95,-18,14,57,63,45,100,-100,-100,-100,0,52,-38,68,13,92,-35,11,9,-84,-35,-63,-29,100,-5,-80,-14
2017-01-12,0,0,-100,-20,-100,-57,100,0,1,92,100,-89,0,100,-56,83,0,100,53,-50,-58,-16,0,0,100,-100,100,100,0
2017-01-13,41,100,67,100,-100,0,-49,-48,82,5,-94,-100,13,-91,-95,36,-13,-100,46,87,-63,39,87,0,-21,-64,-11,-100,-75
2017-01-17,12,-72,-8,29,-100,100,12,65,-83,0,-100,-100,-13,-39,1,34,72,100,100,-8,-10,100,100,85,-69,100,27,51,-86
2017-01-18,-38,-18,-100,0,0,-17,100,100,0,0,33,0,0,-100,100,-100,-49,-6,-20,0,0,0,-50,0,0,100,100,0,-100
2017-01-19,95,-100,74,-100,100,39,51,-62,-65,74,-100,9,30,-70,100,-100,-23,-100,100,-100,76,-31,69,23,-100,-100,-100,-100,-17
2017-01-20,0,94,60,-40,0,-4,-8,0,100,100,82,-60,68,2,0,-21,0,-58,0,57,0,0,-36,9,-90,100,-30,0,-65
2017-01-23,100,30,0,-100,-36,0,-10,-72,0,100,-63,-9,0,100,-85,1,0,100,100,0,0,-55,100,-59,-11,0,-77,-52,-92
2017-01-24,-43,-48,-78,100,-87,72,-62,76,0,-55,0,13,-18,75,100,-1,0,0,0,-100,100,-53,-100,-5,0,0,-58,100,0
2017-01-25,-100,0,0,-96,0,96,100,0,-57,87,0,-34,-40,-100,0,0,0,40,0,-90,84,0,-62,0,-21,97,-60,94,-37
2017-01-26,-67,-17,7,0,-100,-32,-23,100,-25,-12,0,73,0,-60,32,64,100,-30,0,0,-100,100,61,0,0,-56,-14,76,-100
2017-01-27,0,100,1,-100,0,0,-18,100,-100,0,0,0,-40,-39,0,-10,-17,95,-67,0,-23,-100,-70,100,100,-30,100,-49,0
2017-01-30,0,30,40,-16,-100,-62,34,85,-73,-67,-55,50,0,45,-84,63,31,-13,74,100,-56,0,52,-28,-67,-83,37,-22,100
2017-01-31,0,41,-12,-100,-32,3,-74,-21,39,60,79,-100,37,100,88,-100,-100,-27,100,-100,85,0,24,-71,-33,-100,100,100,100
2017-02-01,0,80,34,-40,-1,-100,51,64,-59,-96,100,-25,-26,-100,-70,55,-14,77,80,0,-100,47,100,20,0,-42,-26,30,-28
2017-02-02,0,0,-100,100,67,-95,-100,100,0,-100,-11,100,-11,100,0,54,75,-89,-100,100,-64,82,-3,0,0,59,26,100,100
2017-02-03,100,-100,0,0,-67,0,-14,100,-100,0,0,0,0,-48,-62,-100,100,-13,0,16,-37,100,94,0,100,0,100,-55,100
2017-02-06,-100,-24,-75,-27,7,0,47,16,-100,-97,21,-4,0,12,-100,35,88,46,-26,-50,-2,46,-48,100,-28,51,23,-100,45
2017-02-07,0,95,-42,-62,-7,8,-100,100,-10,46,68,55,100,1,53,-61,-88,16,-81,100,-19,-48,-27,-100,14,100,-45,-100,100
2017-02-08,37,100,-76,-18,0,-8,-67,100,-84,26,13,-100,77,-48,-76,0,-100,27,-75,33,31,100,100,45,-11,-100,-97,32,12
2017-02-09,-36,0,-81,0,0,0,-100,0,29,100,100,0,-100,-33,100,0,1,100,0,-100,0,-100,-56,0,-24,-40,0,0,0
2017-02-10,0,-18,1,0,0,0,100,100,99,-69,95,-82,100,-29,-40,0,0,-68,-100,-99,-58,-78,0,-75,71,100,-96,100,80
2017-02-13,-1,100,-100,0,100,0,-4,-27,0,-10,72,-100,0,0,0,0,-76,0,0,0,-100,-35,-73,100,-2,-33,-48,-71,100
2017-02-14,100,-22,-11,-100,-100,0,-1,87,-66,100,97,0,0,0,0,0,0,100,-81,0,100,-55,0,-43,0,-61,100,-8,-87
2017-02-15,3,-100,74,-100,100,0,-41,100,-100,0,-100,-82,-65,100,34,0,0,-84,100,0,100,-22,-53,100,21,-63,85,-44,90
2017-02-16,100,71,100,-100,54,0,-38,37,56,6,61,0,-100,-78,-94,0,0,100,100,22,52,-37,100,-40,-100,-13,-35,100,-22
2017-02-17,100,100,38,0,0,0,0,0,-100,-100,0,0,0,-11,0,0,0,0,0,-22,-30,100,0,0,100,0,-100,-7,0
2017-02-21,0,0,-26,0,14,0,-100,0,0,0,0,0,0,-11,0,0,0,100,0,0,0,-11,0,-17,0,0,-99,-16,0
2017-02-22,-66,-19,100,-100,-67,0,-65,100,-64,90,0,78,63,95,0,0,1,-100,-100,0,8,-42,100,95,-100,100,100,-100,-4
2017-02-23,0,100,0,-65,-100,88,100,-100,0,0,0,0,30,3,89,0,-1,0,0,0,-100,-47,-24,0,0,-10,-100,90,-30
2017-02-24,-17,91,0,100,-1,100,100,-100,0,0,0,-78,0,-23,-89,0,0,0,100,0,100,0,-100,-56,-41,-88,-100,-31,-27
2017-02-27,0,0,0,0,1,0,0,-89,0,96,-3,0,-51,-30,100,0,0,-36,0,0,-23,0,0,0,0,0,-100,-100,0
2017-02-28,-51,0,0,0,21,-54,0,-4,-4,-52,-31,0,0,-39,100,0,1,-11,100,0,-19,0,0,0,0,-2,0,0,-29
2017-03-01,100,48,-34,-100,-22,-100,39,100,29,67,-88,0,59,64,-24,0,100,54,-68,17,22,0,-100,-32,0,51,-100,10,46
2017-03-02,0,100,100,0,100,100,-100,-100,0,89,-45,0,-100,0,0,0,-1,0,-54,-17,-100,0,-52,-13,0,-51,100,0,-92
2017-03-03,-100,100,-100,100,-100,-63,-99,100,-100,0,-19,0,-8,-70,-37,0,-69,83,0,0,100,0,29,-100,0,100,1,-100,0
2017-03-06,2,0,0,0,0,0,100,-43,0,0,-93,0,76,0,0,0,-22,-2,0,100,-28,0,0,-38,0,0,0,-29,100
2017-03-07,-71,-93,-52,-15,0,57,-33,-100,-19,-62,49,100,-81,59,-18,0,15,100,-100,59,-75,100,-47,0,8,-100,-47,22,-86
2017-03-08,-16,-100,100,-66,0,-100,-72,100,-45,41,65,-85,0,100,-82,0,20,-66,100,-100,78,72,-42,0,-7,100,100,-58,100
2017-03-09,80,60,-100,-19,0,-28,-27,83,-5,83,-32,-15,0,-49,32,0,-44,64,-100,-28,-63,96,49,100,-1,-93,20,100,-100
2017-03-10,-100,-6,100,0,100,0,7,-12,49,76,100,0,100,-21,-48,0,0,-100,-87,-31,100,-100,100,-31,0,100,35,-26,-100
2017-03-13,-64,0,0,0,-34,0,1,-44,-49,76,0,0,-100,0,100,1,0,-37,100,0,-19,-10,-22,0,0,0,0,-50,-26
2017-03-14,0,0,-72,100,-66,0,-28,0,0,-51,0,0,0,0,100,-1,0,0,-100,0,100,-3,0,-38,34,0,100,0,0
2017-03-15,0,-13,100,0,0,0,-100,0,0,0,40,0,0,1,-30,0,100,-46,0,0,-100,-78,0,100,0,0,100,-100,0
2017-03-16,1,-26,-100,-40,0,0,-100,0,100,0,-38,0,50,-42,-42,0,0,0,0,0,0,100,0,-44,-34,100,-80,100,100
2017-03-17,-1,-62,100,0,0,0,-37,0,-92,0,0,36,-50,-48,-19,0,-53,-84,0,100,-39,-100,-5,100,0,100,0,100,100
2017-03-20,0,-54,-100,50,47,0,29,60,-8,12,-100,-36,100,0,33,36,66,17,-75,-42,-100,40,-45,51,0,11,-100,-13,-31
2017-03-21,100,-100,-38,0,-47,0,-100,100,22,20,69,42,-100,100,-100,-36,34,-44,100,70,-100,-57,74,-56,0,68,69,72,-100
2017-03-22,-100,-85,60,-16,61,0,0,100,72,0,-20,-27,0,90,-65,99,-100,0,43,0,-13,-60,-100,100,0,-22,3,100,-16
2017-03-23,0,0,0,-36,-3,100,0,100,-94,-49,0,7,0,1,0,-34,0,-22,-16,0,-29,100,0,0,100,0,-40,-100,100
2017-03-24,100,100,-79,-58,-58,0,-67,-18,0,100,0,-22,100,0,0,-21,0,6,0,2,0,0,0,-100,-45,0,0,-100,0
2017-03-27,19,13,27,9,0,100,36,30,0,-100,1,0,33,100,0,100,3,-100,-100,-51,0,-46,46,-96,-47,100,60,100,-19
2017-03-28,-28,0,-10,-9,0,-100,94,100,0,90,0,0,-31,0,0,67,-50,43,-34,-43,0,-54,78,100,-8,-64,66,-100,-5
2017-03-29,-25,-42,-14,0,1,-92,1,0,0,29,62,0,100,100,0,-52,93,100,-100,-36,0,0,-100,-100,0,-45,100,100,61
2017-03-30,1,100,-10,0,-1,86,-34,0,0,-82,-100,0,-100,0,0,67,0,3,94,0,0,0,100,100,0,-25,-100,-46,-100
2017-03-31,-67,-32,100,0,0,-94,-32,-2,65,0,0,0,0,0,0,-21,-10,100,0,0,1,0,0,0,0,0,0,-100,-23
