account_rewards,date
-28858.664854583563,2018-04-05
1942.1148733978625,2018-04-06
22000.397970397957,2018-04-09
-10490.669555515284,2018-04-10
12386.590516696917,2018-04-11
-7515.695746883517,2018-04-12
11555.235945434542,2018-04-13
18252.35346955876,2018-04-16
-3756.8015009611845,2018-04-17
-2124.2648067169357,2018-04-18
-1175.371762092691,2018-04-19
-321.5632807658985,2018-04-20
-4277.230584637262,2018-04-23
930.0107581787743,2018-04-24
2552.5010890960693,2018-04-25
793.6141639703419,2018-04-26
-2769.5588355252985,2018-04-27
-411.9452752037905,2018-04-30
-1982.1077677994035,2018-05-01
-627.2830028003082,2018-05-02
4998.606068897294,2018-05-03
-706.7101674003061,2018-05-04
-391.4445845945738,2018-05-07
1930.752073341515,2018-05-08
3827.9366494673304,2018-05-09
3772.2922281459905,2018-05-10
1932.6555744055659,2018-05-11
-5689.383472919464,2018-05-14
2275.6877759019844,2018-05-15
47.9391346401535,2018-05-16
488.68736626394093,2018-05-17
4743.6737060546875,2018-05-18
-2141.492272827076,2018-05-21
653.8412828445435,2018-05-22
-703.8932424392551,2018-05-23
-783.4048311195802,2018-05-24
-9599.860777889378,2018-05-25
7686.071975730825,2018-05-29
-7163.949950367212,2018-05-30
7515.975529304473,2018-05-31
6910.121231979225,2018-06-01
-958.4727803915739,2018-06-04
9821.537519783014,2018-06-05
3690.9271245994605,2018-06-06
3708.5352186928503,2018-06-07
541.0674036943819,2018-06-08
1761.0088798599318,2018-06-11
-2000.49627044308,2018-06-12
3813.165147357853,2018-06-13
1192.6300651247147,2018-06-14
-4679.157747463323,2018-06-15
-5411.2453919029795,2018-06-18
1663.3032448196318,2018-06-19
-6074.79363834369,2018-06-20
-1591.1947771455161,2018-06-21
-10515.194170692237,2018-06-22
1708.5608413505834,2018-06-25
-7679.772242252249,2018-06-26
-2378.593215034576,2018-06-27
2412.050965476781,2018-06-28
4581.637136375532,2018-06-29
-6394.537510601105,2018-07-02
