account_rewards,date
6959.611991119571,2018-01-03
14823.311808189377,2018-01-04
830.631283931667,2018-01-05
7642.853747612098,2018-01-08
1543.156913005747,2018-01-09
12335.507505065994,2018-01-10
13433.026424571872,2018-01-11
-2579.604779983405,2018-01-12
27074.147937599104,2018-01-16
-9149.622288497863,2018-01-17
-3929.753688812256,2018-01-18
3073.937412261963,2018-01-19
-379.2279815673828,2018-01-22
-1318.6739839173388,2018-01-23
1077.0884860993829,2018-01-24
4683.345714187482,2018-01-25
-3374.624337768648,2018-01-26
-16674.17318153358,2018-01-29
6960.244902038481,2018-01-30
-898.4919494627975,2018-01-31
-25503.632064209087,2018-02-01
-61072.31895446777,2018-02-02
-1222.538135757437,2018-02-05
294.2303627014626,2018-02-06
-17420.29128952045,2018-02-07
8923.246729278937,2018-02-08
13663.778290557675,2018-02-09
-185.329625320388,2018-02-12
11387.484835434007,2018-02-13
17761.91369442735,2018-02-14
822.3372192382812,2018-02-15
-6870.8375244140625,2018-02-16
-7763.811813354492,2018-02-20
5358.0859375,2018-02-21
15861.282577514648,2018-02-22
21683.16404724121,2018-02-23
-13009.713684082031,2018-02-26
-16334.378692626953,2018-02-27
-13866.575256347656,2018-02-28
-3495.9068756103516,2018-03-01
16705.510681152344,2018-03-02
-2287.43310546875,2018-03-05
-443.7325134277344,2018-03-06
3519.4158935546875,2018-03-07
21112.142654418945,2018-03-08
-10474.552749633789,2018-03-09
-6501.632781982422,2018-03-12
-10433.206649780273,2018-03-13
5407.150466918945,2018-03-14
1528.236572265625,2018-03-15
-15598.35578918457,2018-03-16
6445.071990966797,2018-03-19
-5461.304870605469,2018-03-20
-38942.088607788086,2018-03-21
-19981.529342651367,2018-03-22
33000.92070007324,2018-03-23
-19710.57830810547,2018-03-26
1845.8818969726562,2018-03-27
8535.310821533203,2018-03-28
-19828.50225830078,2018-03-29
21324.02423095703,2018-04-02
14224.79182434082,2018-04-03
