date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2018-06-01,21,-28,-100,35,59,100,-91,100,100,-100,100,13,-46,-100,100,-9,-56,8,-11,57,68,-28,29,-100,-100,100,-100,26,100
2018-06-04,-100,65,100,-92,-100,59,93,-100,3,-82,17,11,-28,-100,-37,-31,75,100,-22,100,75,46,14,-100,100,33,45,100,-100
2018-06-05,75,56,-100,-10,29,42,15,64,100,-10,28,9,-26,-74,-100,0,97,100,-1,-100,45,-78,-73,24,-41,-100,-30,-100,-43
2018-06-06,-61,63,-67,52,-71,84,-92,37,57,-41,-1,26,0,34,-12,0,-24,74,-43,18,72,-100,100,-39,55,-100,1,100,100
2018-06-07,19,16,-35,-3,-38,28,62,-50,20,-10,91,-74,0,23,55,0,100,100,28,-19,60,-100,98,36,66,4,54,52,-100
2018-06-08,-4,100,-100,100,8,-80,-100,-66,-13,-57,-45,10,0,-82,100,100,-30,-96,100,100,100,-94,-16,-24,-41,-14,-26,57,0
2018-06-11,16,-87,63,-100,38,100,100,0,-100,100,-1,-100,7,78,34,-27,-52,100,100,33,-14,100,-5,100,-87,-50,-67,91,0
2018-06-12,16,-100,-79,-100,100,-8,34,0,100,-95,-48,78,-7,27,-100,9,81,35,53,94,-68,-7,100,49,100,32,-100,43,100
2018-06-13,-100,100,0,-34,-100,100,100,0,100,-5,-67,-100,0,-87,100,-39,-23,57,79,-26,100,-100,94,8,95,55,59,54,-31
2018-06-14,-100,100,100,28,100,-36,53,0,14,0,4,10,53,-23,100,-43,-35,-18,65,100,20,100,-18,-34,-95,-73,7,-100,-6
2018-06-15,-33,-100,56,-36,-100,100,-55,0,-100,30,-22,-100,73,-61,-72,40,100,51,-100,-100,-1,-43,100,-100,40,-27,36,-34,100
2018-06-18,39,-7,-99,0,100,68,-3,33,-1,-30,100,-100,-99,-11,-100,43,73,-22,-100,58,100,-77,63,-35,-20,-47,37,-2,-100
2018-06-19,63,-60,-57,16,-100,-45,22,-33,27,100,26,-100,-17,100,-56,39,-100,-100,-3,-86,-18,100,-100,0,-56,82,-100,100,-4
2018-06-20,-83,58,1,100,100,50,100,2,-28,0,-70,50,-10,-86,-83,-7,-51,-100,-25,-100,22,-79,48,0,-9,57,43,100,17
2018-06-21,-33,-37,-1,-55,100,62,91,-2,41,-4,-3,-1,0,67,-2,100,61,-100,53,-100,100,48,-100,22,-93,100,-95,70,-76
2018-06-22,0,-88,100,-18,20,-100,100,71,100,-96,17,-67,0,1,20,66,-100,-21,100,-44,16,-100,17,71,-100,8,-100,-20,0
2018-06-25,0,-59,100,100,79,94,-45,100,-100,0,-35,-81,0,96,6,-100,-100,-100,56,0,37,-100,71,-93,87,-92,21,94,0
2018-06-26,0,-87,31,-71,-92,-100,-13,14,-80,0,15,0,100,-80,-26,100,-11,-71,-19,100,-44,-84,100,81,-42,25,-72,-66,0
2018-06-27,83,-5,-100,50,100,-59,1,-24,-2,0,-100,100,3,49,31,-100,28,-4,70,-89,55,0,43,56,31,-40,0,-39,28
2018-06-28,38,100,39,33,-100,100,36,100,-88,7,98,100,-43,75,35,100,-37,100,-4,83,-29,0,-100,-100,-90,-47,22,-38,41
2018-06-29,-54,65,-29,100,-31,-66,-48,-22,100,12,39,23,-60,49,-66,10,12,56,-100,-9,33,0,-83,100,-20,100,-22,100,-69
2018-07-02,100,-100,95,59,-77,46,-100,9,-50,3,100,13,0,-45,0,-47,-91,-12,-19,0,100,0,-100,-100,66,83,41,-38,0
