date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2017-10-03,-100,0,100,58,1,0,0,0,0,0,-100,0,0,0,0,0,100,0,0,-100,0,0,0,0,0,-100,0,0,100
2017-10-04,-100,0,100,58,0,1,0,0,0,0,-100,0,0,0,0,0,100,0,0,-100,0,0,0,0,0,-100,0,0,100
2017-10-05,-100,0,100,58,0,0,0,0,0,0,-100,0,0,1,0,0,100,0,0,-100,0,0,0,0,0,-100,0,0,100
2017-10-06,-100,0,100,58,0,0,0,0,0,0,-100,0,0,2,0,0,100,0,0,-100,0,0,0,0,0,-100,0,0,100
2017-10-09,-100,0,100,57,1,1,0,0,0,0,-100,0,0,0,0,0,100,0,0,-100,0,0,0,0,0,-100,0,0,100
2017-10-10,-100,0,100,55,1,0,0,0,0,0,-100,0,0,1,0,0,100,0,0,-100,0,0,0,0,0,-100,0,0,100
2017-10-11,-100,0,100,55,0,0,0,0,0,0,-100,0,0,2,0,0,100,0,0,-100,0,0,0,0,0,-100,0,0,100
2017-10-12,-100,0,100,54,1,0,0,0,0,0,-100,0,0,1,0,0,100,0,0,-100,0,0,0,0,0,-100,0,0,100
2017-10-13,-100,0,100,12,0,0,0,0,0,0,-100,0,0,0,0,0,100,0,0,-100,0,0,0,0,0,0,0,0,100
2017-10-16,-1,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2017-10-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-18,0,0,-900,-1576,-4,-2,0,0,0,0,0,0,0,-7,-1800,0,-1802,0,0,0,0,-1800,0,0,-831,0,-900,-903,-906
2017-10-19,0,0,100,100,100,100,0,100,0,100,100,0,100,100,100,100,100,100,100,0,100,100,100,0,100,0,100,100,100
2017-10-20,0,0,100,100,100,100,0,100,0,100,100,0,100,100,100,100,100,100,100,0,100,100,100,0,100,0,100,100,100
2017-10-23,0,0,100,100,100,100,0,100,0,100,100,0,100,100,100,100,100,100,100,0,100,100,100,0,100,0,100,100,100
2017-10-24,0,0,-300,-300,-300,-300,0,-300,0,-300,-300,0,-300,-300,-300,-300,-300,-300,-300,0,-300,-300,-300,0,-300,0,-300,-300,-300
2017-10-25,0,0,100,100,100,100,0,100,0,100,100,0,100,100,100,100,100,100,100,0,100,100,100,0,100,0,100,100,100
2017-10-26,0,0,100,100,100,100,0,100,0,100,100,0,100,100,100,100,100,100,100,0,100,100,100,0,100,0,100,100,100
2017-10-27,0,0,-200,-200,-200,-200,0,-200,0,-200,-200,0,-200,-200,-200,-200,-200,-200,-200,0,-200,-200,-200,0,-200,0,-200,-200,-200
2017-10-30,0,0,100,100,100,100,0,100,0,100,100,0,100,100,100,100,100,100,100,0,100,100,100,0,100,0,100,100,100
