account_rewards,date
3032.5385272254935,2016-07-05
-3465.289099029498,2016-07-06
18850.874698501546,2016-07-07
4204.275287956232,2016-07-08
1966.5143232460832,2016-07-11
-147.05747753905598,2016-07-12
9529.223771408084,2016-07-13
-1454.6858795242151,2016-07-14
3760.967679984984,2016-07-15
1776.8711233272916,2016-07-18
3404.3170307845576,2016-07-19
-7610.858120246907,2016-07-20
-1957.1250304946443,2016-07-21
-1874.117073879228,2016-07-22
-4288.611190038733,2016-07-25
-3093.7451269511366,2016-07-26
3463.8101543769008,2016-07-27
-828.7912320327014,2016-07-28
762.8654069748009,2016-07-29
-7118.641591911321,2016-08-01
4641.612925983383,2016-08-02
-182.76691520691384,2016-08-03
9927.28492071724,2016-08-04
-1030.5921887492295,2016-08-05
-187.50246734614484,2016-08-08
-386.0381549835438,2016-08-09
3042.6192192076705,2016-08-10
-1380.8456228260184,2016-08-11
1237.6394023896428,2016-08-12
-4574.804319572519,2016-08-15
1697.080814552377,2016-08-16
-186.97967847820837,2016-08-17
-64.63584151840769,2016-08-18
-1023.1791009979788,2016-08-19
2643.8400090046925,2016-08-22
-5086.632484935806,2016-08-23
-2120.1112395629752,2016-08-24
-2688.472821182222,2016-08-25
6659.079977510381,2016-08-26
168.20382930943742,2016-08-29
-1472.1932237701258,2016-08-30
586.6214599609375,2016-08-31
3698.5176391601562,2016-09-01
-8.038654327392578,2016-09-02
-1202.3059425354004,2016-09-06
-2084.688735961914,2016-09-07
-18395.542388916016,2016-09-08
12891.629333496094,2016-09-09
-14857.543090820312,2016-09-12
-559.3148040771484,2016-09-13
8946.193435668945,2016-09-14
-4673.668426513672,2016-09-15
611.523063659668,2016-09-16
2052.5458221435547,2016-09-19
7112.417148590088,2016-09-20
6723.046405792236,2016-09-21
-8467.458713531494,2016-09-22
-10335.700553894043,2016-09-23
8672.382968902588,2016-09-26
1510.0703353881836,2016-09-27
-12933.491577148438,2016-09-28
9101.691665649414,2016-09-29
