account_rewards,date
-4637.117149250116,2017-04-04
1866.1449536953587,2017-04-05
780.6153024367522,2017-04-06
1156.6218054848723,2017-04-07
-144.87667960161343,2017-04-10
-3244.285850172164,2017-04-11
-10285.82327398681,2017-04-12
7751.174707202939,2017-04-13
-11211.351470054593,2017-04-17
-4281.594483640743,2017-04-18
10418.608524633572,2017-04-19
-3802.8540758762974,2017-04-20
15240.235991716385,2017-04-21
12207.479726608144,2017-04-24
-1629.4272432250436,2017-04-25
-1848.9352884520777,2017-04-26
-924.5135294799693,2017-04-27
-2748.4128313942347,2017-04-28
2604.0385526886676,2017-05-01
4255.507898235228,2017-05-02
809.2693759899121,2017-05-03
1660.877568027703,2017-05-04
-2518.060416553635,2017-05-05
-3958.402482683072,2017-05-08
-307.5666813279968,2017-05-09
-2235.5465431096964,2017-05-10
-2781.784184482647,2017-05-11
5949.771480051102,2017-05-12
750.816781814443,2017-05-15
-22952.57768807211,2017-05-16
3672.264640258858,2017-05-17
-1090.604509376455,2017-05-18
-317.2337428093888,2017-05-19
503.3041326657403,2017-05-22
835.1015063435771,2017-05-23
307.68736228183843,2017-05-24
446.25668764091097,2017-05-25
-1896.808524821885,2017-05-26
-1160.7582001362462,2017-05-30
3019.571870685788,2017-05-31
-87.79564083879814,2017-06-01
-285.1381470756605,2017-06-02
-1958.242020496633,2017-06-05
960.6753322943114,2017-06-06
357.3356812878046,2017-06-07
8599.11938853073,2017-06-08
1434.7529968281742,2017-06-09
2615.263123787008,2017-06-12
3545.559548095567,2017-06-13
-1075.895931304898,2017-06-14
1273.177027931204,2017-06-15
5934.878453933867,2017-06-16
-2042.1217918510083,2017-06-19
-3390.3603766518645,2017-06-20
-3269.107790126698,2017-06-21
-1085.4741266556084,2017-06-22
3997.057296790881,2017-06-23
-5190.645032985602,2017-06-26
6265.227885017404,2017-06-27
-8681.787473932141,2017-06-28
-1886.047242065426,2017-06-29
11617.531236709561,2017-06-30
