,daily_return
0,0.0
1,-0.007932820756177072
2,-0.003440682702742892
3,-0.00824643908869771
4,-0.006324697085972164
5,-0.001372666117352206
6,-0.005737727648308266
7,-0.0004328867895667665
8,0.0011215952046590427
9,0.0027357540901256083
10,0.011042228734468695
11,0.013751883098464646
12,0.010647022792321215
13,0.011111329918364499
14,0.008344434889772323
15,0.004016310653834454
16,-0.009682625578968374
17,-0.003904272576652601
18,-0.006682379155771079
19,-0.0020840039732977766
20,-0.022210471266774
21,-0.014790595154065334
22,-0.0003242235716243158
23,0.014285749919014323
24,0.016726583273906304
25,0.008153885823711349
26,0.014777262018648596
27,0.01637366549591679
28,0.022864444110165083
29,0.016759064380055477
30,0.016775339139307732
31,0.010365908472093066
32,0.013569661146580536
33,0.010014845915099713
34,0.0023815140915466326
35,-0.02847222587211784
36,-0.05482816030593096
37,-0.05851545350985343
38,-0.09756029844941294
39,-0.10839841716570964
40,-0.06647320741869933
41,-0.0954180193546581
42,-0.05441740050543831
43,-0.08099584934852988
44,-0.0888798272193062
45,-0.14969961179143643
46,-0.10775218088133831
47,-0.15521504838031808
48,-0.2381463333885192
49,-0.16577527039211026
50,-0.2631368068088188
51,-0.21655580676840924
52,-0.24923048278083704
53,-0.24550991858529414
54,-0.27378121359996177
55,-0.2932527306284842
56,-0.22004554096126772
57,-0.21752273401411015
58,-0.16837501891503392
59,-0.1963210003599536
60,-0.16559255016757146
61,-0.18126843055484554
62,-0.21505400491566273
63,-0.19580579980315116
64,-0.20641476551874371
65,-0.15218790406470872
66,-0.1541500696484862
67,-0.1296667735923761
68,-0.1204864189126621
69,-0.13028929969258973
70,-0.10563457549803479
71,-0.1273100597496738
72,-0.12326515950483985
73,-0.09715565937541992
74,-0.11413739065956352
75,-0.13987230069760093
76,-0.12134169486955004
77,-0.12291504153622734
78,-0.11414628362373436
79,-0.10001138582041369
80,-0.1029848043227991
81,-0.08658002847304935
82,-0.09983734354111862
83,-0.12503521841170495
84,-0.12164697544885716
85,-0.11759806822443786
86,-0.1246357109534959
87,-0.11787465754908255
88,-0.10049119623647329
89,-0.10043345681310534
90,-0.11997097142889612
91,-0.14124921514438882
92,-0.12986907290560334
93,-0.1264198899341119
94,-0.09632906099232064
95,-0.10691667554265538
96,-0.09256020704669876
97,-0.0964847418974023
98,-0.0957711734626091
99,-0.0794182279001604
100,-0.0601037654380876
101,-0.06475916392804237
102,-0.06030545199003645
103,-0.05967226453669716
104,-0.052715327275542734
105,-0.036972981584734055
106,-0.03573988331772393
107,-0.011011835023586491
108,0.0028443228741299453
109,-0.008874875028073048
110,-0.014234009734886088
111,-0.07789423888442681
112,-0.06410801033132218
113,-0.0570566266199285
114,-0.039570198862984185
115,-0.04377579690491007
116,-0.0421816443889822
117,-0.044393608292886744
118,-0.04169768735121837
119,-0.0400174823150784
120,-0.06311579299834136
121,-0.05299944098190679
122,-0.07556342103058322
123,-0.0598667697435078
124,-0.04856556364810494
125,-0.04849183268005064
126,-0.04334045126400177
127,-0.02809526220561387
128,-0.04224848341430998
129,-0.036481047046891035
130,-0.0494994809868603
131,-0.03814328384381538
132,-0.04285520989036795
133,-0.02610493833146854
134,-0.01958980523787346
135,-0.021555892893895146
136,-0.020109477916239182
137,-0.018534544049161106
138,-0.014318386592940602
139,-0.00854594479699966
140,-0.018504174218298308
141,-0.03202549665281651
142,-0.029150663004785193
143,-0.03647831004624025
144,-0.03272220331190834
145,-0.04111825909873601
146,-0.041198040040688055
147,-0.03140988693641411
148,-0.029449494462247316
149,-0.0198629824413058
150,-0.015216355134708315
151,-0.012133124293418618
152,-0.0018970071619405227
153,-0.007777345822418402
154,0.0017473491961337295
155,-0.006482993594340236
156,-0.004689812852202935
157,-0.007440667637955367
158,-0.006417807461827296
159,-0.010030516090607344
160,-0.008442326561966529
161,-0.006851021953278025
162,0.0033162653119716
163,0.008484485437655565
164,0.02440670545649204
165,0.033160122611131104
166,0.037271441013932094
167,0.03169578117677374
168,0.034727139463680334
169,0.05231181189158307
170,0.02435122166453252
171,0.01981022396331711
172,-0.0024600983989495617
173,0.01123297538811907
174,-0.00286073655611796
175,0.003545506088161954
176,0.01398186900358045
177,0.014952656326580716
178,0.018342186897043478
179,0.014897655828092882
180,0.006245614587093051
181,-0.011428423956480027
182,-0.005248044518176176
183,-0.02050439273636462
184,-0.019490126423333254
185,-0.00829106764679799
186,0.006595473632385662
187,0.0008188081658209168
188,0.01127359838760067
189,0.01159191579958696
190,0.005078362267720848
191,0.02245087400107293
192,0.011362737941666756
193,0.03068471198419731
194,0.035924535381874456
195,0.039045406625561885
196,0.04867559915704689
197,0.04044630356153389
198,0.03552764574151679
199,0.03825275200231859
200,0.04104171507436005
201,0.026658374551498776
202,0.03189259830599145
203,0.03126448731636122
204,0.03697324050959838
205,0.031140354058530217
206,0.007944710639393504
207,-0.0019283876887771223
208,-0.03388297233495918
209,-0.03173099122933798
210,-0.03538126406727349
211,-0.02078113189024322
212,-0.0027200938811540176
213,0.004531726963271865
214,0.024161758195996086
215,0.023243854750762294
216,0.05200988551767183
217,0.0627560261704414
218,0.06469013965672343
219,0.0512661304417501
220,0.07010271168654159
221,0.0873341350392518
222,0.07678349104021076
223,0.06418582581014576
224,0.06679756027790851
225,0.061107052459491884
226,0.07073547873930752
227,0.08645830500550056
228,0.08183680120948567
229,0.08274214898675569
230,0.07467918455282052
231,0.08345174498572261
232,0.08562806584416793
233,0.09433164447425635
234,0.10414705633643351
235,0.09588089875850625
236,0.10071691782700865
237,0.09784080246669169
238,0.09582949362695459
239,0.09671994039532006
240,0.09176571251866061
241,0.10287589792579421
242,0.10134566350641139
243,0.10723458432435207
244,0.10103855722942146
245,0.10025239733433189
246,0.09285887380309332
247,0.09561907577070738
248,0.09742401624305419
249,0.10339606910744781
250,0.10323188509115488
251,0.10333377951788103
252,0.11173908346941497
